,x,y,z
0,61,6,0.7579066587439555
1,71,55,-1.115639007420713
2,29,45,0.6521897590611285
3,24,28,0.4198791730281166
4,29,62,-0.05159058010577793
5,29,96,-1.6779335477442623
6,3,65,1.3318387849330915
7,18,2,-0.5768035458816432
8,96,49,-0.06776822781226757
9,27,98,-1.10043416319538
10,0,50,-0.41705280743464795
11,70,80,-3.6943843735751503
12,69,65,-2.3254068857813857
13,46,23,0.16509972524856767
14,49,6,-1.034174059632305
15,71,31,0.29015913232521745
16,33,48,0.2194504875687332
17,66,43,-0.36123899899726925
18,58,89,-0.9766751889814893
19,5,70,0.8502047754448429
20,62,40,0.2226497761589064
21,92,85,-1.742622687437134
22,46,30,-0.3132621415935155
23,33,7,-1.4975727235454985
24,63,18,0.175790832365803
25,90,54,-0.6129947699928151
26,41,13,0.32762632069477926
27,28,2,-1.1394179907706772
28,89,26,-0.33194383393826893
29,90,59,-0.11560108152005405
30,53,40,-0.8403594692552453
31,18,62,0.6860999935290817
32,55,89,-0.375110496751514
33,12,64,0.7619661076204718
34,59,53,-0.6909971351424623
35,32,78,-0.9825549940527496
36,48,36,0.0009286180500089753
37,31,82,-1.1372543436539717
38,70,96,-2.268204199295685
39,42,61,-1.0747043429189802
40,6,27,0.5489928369632181
41,6,54,0.5348673757871762
42,20,26,0.8518465975902051
43,34,27,0.5894047697809864
44,27,82,-1.2137182751285958
45,76,79,-3.8413421855159235
46,27,27,0.05976787994137116
47,48,94,-0.052762755171367304
48,42,9,-0.07649753361510535
49,58,61,-1.2400789861766204
50,47,3,-1.033469266896328
51,5,77,1.0233182156120952
52,15,26,1.0755396695337571
53,23,48,1.585387233299558
54,63,97,-1.7057960586959229
55,10,61,0.39187576880059477
56,21,58,0.4369989395379725
57,24,73,-0.41202054279846206
58,34,73,-0.8820947359356559
59,84,18,-1.5632631933459016
60,41,95,-0.393860384903881
61,80,94,-1.979936107695099
62,78,50,-0.473610010142981
63,81,27,-0.9625863137555128
64,94,23,1.0333785621331466
65,56,87,-0.8887316229067717
66,84,54,-0.3859558293145321
67,57,37,-0.5237635727263719
68,63,72,-2.241024184765807
69,56,10,0.6343504901672349
70,97,26,1.7633293631848477
71,63,11,0.9850417553862738
72,44,21,0.23502460376161213
73,23,69,-0.6459485790193784
74,86,30,-0.4549270848815229
75,97,31,1.5227052792288318
76,39,72,-1.0884914678529767
77,7,78,0.8142179620031198
78,84,3,-0.09759331005739146
